id,target,spf
10,3315300000,10
11,59245200,10
12,89071800,10
13,114646200,10
14,98792400,10
15,235131300,10
16,183762300,10
17,263222700,10
18,377256000,10
19,314796000,10
20,210332700,10
21,100368900,10
22,136475100,10
23,145996200,10
24,133827900,10
25,142155600,10
26,53531700,10
