id,cost,status
3,0,0
30,752727.4844,0
56,3734907.508,0
58,1695902.081,0
84,3422025.594,0
85,17890758.37,0
86,965325.3057,0
111,7154763.02,0
112,2979099.271,0
113,8816207.662,0
138,2742.06055,0
139,9893010.473,0
140,3297944.373,0
141,2632042.236,0
166,0,0
167,40758088.39,0
168,7199345.051,0
170,4404982.32,0
194,10392304.85,0
195,10392304.85,0
196,3113009.755,0
197,2137965.715,0
198,159423.7085,0
221,16333171.81,0
222,20784609.69,0
223,13856406.46,0
224,5705185.372,0
225,2559851.195,0
248,3000473.586,0
249,20784609.69,0
250,20784609.69,0
251,20544683.15,0
252,40748026,0
253,6348030.308,0
275,1098081.049,0
276,10392304.85,0
277,20784609.69,0
278,13856406.46,0
279,10392304.85,0
280,10378585.68,0
281,3441749.723,0
303,13736229.5,0
304,10392304.85,0
305,10392304.85,0
306,10392304.85,0
307,20784609.69,0
308,13856406.46,0
309,3043901.495,0
330,7038324.084,0
331,20784609.69,0
332,41569219.38,0
333,20784609.69,0
334,20784609.69,0
335,20784609.69,0
336,20784609.69,0
337,14214565.48,0
358,13856406.46,0
359,10392304.85,0
360,10392304.85,0
361,10392304.85,0
362,20784609.69,0
363,13856406.46,0
364,10392304.85,0
365,3681810.582,0
382,1340070.88,0
385,2292902.8,0
386,10392304.85,0
387,20784609.69,0
388,13856406.46,0
389,10392304.85,0
390,10392304.85,0
391,10392304.85,0
392,20784609.69,0
393,9527294.729,0
407,1571968.41,0
409,2281097.276,0
410,252766.1882,0
413,15421261.73,0
414,20784609.69,0
415,20784609.69,0
416,20784609.69,0
417,41569219.38,0
418,20784609.69,0
419,20784609.69,0
420,20784609.69,0
421,941812.7681,0
434,744350.9402,0
437,38204616.53,0
441,10392304.85,0
442,20784609.69,0
443,13856406.46,0
444,10392304.85,0
445,10392304.85,0
446,10392304.85,0
447,20784609.69,0
448,13763245.81,0
449,999840.4561,0
462,12520316.35,0
464,8219867.046,0
465,7771500.797,0
468,14220612.47,0
469,10392304.85,0
470,10392304.85,0
471,10392304.85,0
472,20784609.69,0
473,13856406.46,0
474,10392304.85,0
475,10392304.85,0
476,8813005.044,0
477,1036461.446,0
487,64863.38477,0
489,7367424.145,0
490,12044310.35,0
491,8934082.843,0
492,20784609.69,0
493,18605727.3,0
496,20784609.69,0
497,41569219.38,0
498,20784609.69,0
499,20784609.69,0
500,20784609.69,0
501,20784609.69,0
502,41569219.38,0
503,20784609.69,0
504,20066025.01,0
505,1054361.546,0
512,7567980.517,0
513,2029.20752,0
514,7471524.292,0
516,19362270.27,0
517,41569219.38,0
518,14598835.75,0
519,20784609.69,0
520,20784609.69,0
521,3905619.636,0
523,7231868.075,0
524,10392304.85,0
525,20784609.69,0
526,20784609.69,0
527,20784609.69,0
528,10392304.85,0
529,10392304.85,0
530,10392304.85,0
531,10392304.85,0
532,20671092.2,0
533,1487165.802,0
538,86217.11377,0
539,3560677.684,0
540,6358966.412,0
541,5004594.455,0
542,15263785.68,0
543,2577660.007,0
544,13856406.46,0
545,10392304.85,0
546,10392304.85,0
547,20784609.69,0
548,10392304.85,0
551,13856406.46,0
552,20784609.69,0
553,41569219.38,0
554,10392304.85,0
555,10392304.85,0
556,13856406.46,0
557,20784609.69,0
558,13856406.46,0
559,10392304.85,0
560,8028516.351,0
561,683467.959,0
565,4582234.004,0
566,11523926.43,0
567,20784609.69,0
568,11388360.25,0
569,10392304.85,0
570,9869048.844,0
571,20784609.69,0
572,20784609.69,0
573,13856406.46,0
574,10392304.85,0
575,10392304.85,0
576,10948673.67,0
578,11463310.23,0
579,20784609.69,0
580,41569219.38,0
581,41569219.38,0
582,41569219.38,0
583,20784609.69,0
584,20784609.69,0
585,20784609.69,0
586,20784609.69,0
587,41569219.38,0
588,19933695.03,0
589,3736758.664,0
591,5098363.932,0
592,19424806.52,0
593,8109575.672,0
594,20784609.69,0
595,20784609.69,0
596,20784609.69,0
597,41569219.38,0
598,20784609.69,0
599,20784609.69,0
600,20784609.69,0
601,20784609.69,0
602,41569219.38,0
603,20784609.69,0
604,5390303.783,0
606,10392304.85,0
607,41569219.38,0
608,20784609.69,0
609,10392304.85,0
610,10392304.85,0
611,13856406.46,0
612,20784609.69,0
613,10392304.85,0
614,10392304.85,0
615,10392304.85,0
616,9712158.728,0
617,12246642.88,0
618,3777555.089,0
619,4577192.284,0
620,10392304.85,0
621,10392304.85,0
622,20784609.69,0
623,10392304.85,0
624,10392304.85,0
625,10392304.85,0
626,10392304.85,0
627,20784609.69,0
628,10392304.85,0
629,10392304.85,0
630,10392304.85,0
631,10392304.85,0
633,2119817.377,0
634,13856406.46,0
635,41569219.38,0
636,20784609.69,0
637,20784609.69,0
638,20784609.69,0
639,10392304.85,0
640,10392304.85,0
641,13856406.46,0
642,20784609.69,0
643,13856406.46,0
644,10392304.85,0
645,17599830.46,0
646,13219932.51,0
647,20784609.69,0
648,8218244.847,0
649,10392304.85,0
650,10392304.85,0
651,13856406.46,0
652,20784609.69,0
653,13856406.46,0
654,10392304.85,0
655,10392304.85,0
656,13856406.46,0
657,20784609.69,0
658,13856406.46,0
659,5950955.727,0
661,11056836.71,0
662,41569219.38,0
663,13856406.46,0
664,10392304.85,0
665,20784609.69,0
666,20784609.69,0
667,20784609.69,0
668,13856406.46,0
669,10392304.85,0
670,10392304.85,0
671,13856406.46,0
672,20784609.69,0
673,13856406.46,0
674,10392304.85,0
675,10392304.85,0
676,13856406.46,0
677,20784609.69,0
678,13856406.46,0
679,10392304.85,0
680,10392304.85,0
681,13856406.46,0
682,20784609.69,0
683,13856406.46,0
684,10392304.85,0
685,10392304.85,0
686,12042324.59,0
688,666218.478,0
689,13856406.46,0
690,20784609.69,0
691,10392304.85,0
692,20784609.69,0
693,20784609.69,0
694,10392304.85,0
695,10392304.85,0
696,10392304.85,0
697,20784609.69,0
698,10392304.85,0
699,10392304.85,0
700,10392304.85,0
701,10392304.85,0
702,20784609.69,0
703,10392304.85,0
704,10392304.85,0
705,10392304.85,0
706,10392304.85,0
707,20784609.69,0
708,10392304.85,0
709,10392304.85,0
710,10392304.85,0
711,10392304.85,0
712,20784609.69,0
713,10392304.85,0
716,18297852.93,0
717,41569219.38,0
718,20784609.69,0
719,20784609.69,0
720,41569219.38,0
721,20784609.69,0
722,41569219.38,0
723,20784609.69,0
724,20784609.69,0
725,20784609.69,0
726,20784609.69,0
727,41569219.38,0
728,20784609.69,0
729,20784609.69,0
730,20784609.69,0
731,20784609.69,0
732,41569219.38,0
733,20784609.69,0
734,20784609.69,0
735,20784609.69,0
736,20784609.69,0
737,41569219.38,0
738,20784609.69,0
739,20784609.69,0
740,20784609.69,0
741,9617816.661,0
743,39060.73486,0
744,13856406.46,0
745,13856406.46,0
746,13856406.46,0
747,20784609.69,0
748,20784609.69,0
749,10392304.85,0
750,10392304.85,0
751,13856406.46,0
752,20784609.69,0
753,13856406.46,0
754,10392304.85,0
755,10392304.85,0
756,13856406.46,0
757,20784609.69,0
758,13856406.46,0
759,10392304.85,0
760,10392304.85,0
761,13856406.46,0
762,20784609.69,0
763,13856406.46,0
764,10392304.85,0
765,10392304.85,0
766,13856406.46,0
767,20784609.69,0
768,13856406.46,0
771,10377790.61,0
772,41569219.38,0
773,10392304.85,0
774,10392304.85,0
775,20784609.69,0
776,13856406.46,0
777,20784609.69,0
778,10392304.85,0
779,10392304.85,0
780,10392304.85,0
781,10392304.85,0
782,20784609.69,0
783,10392304.85,0
784,10392304.85,0
785,10392304.85,0
786,10392304.85,0
787,20784609.69,0
788,10392304.85,0
789,10392304.85,0
790,10392304.85,0
791,10392304.85,0
792,20784609.69,0
793,10392304.85,0
794,10392304.85,0
795,10392304.85,0
796,2226475.281,0
799,20784609.69,0
800,20784609.69,0
801,20784609.69,0
802,41569219.38,0
803,20784609.69,0
804,20784609.69,0
805,20784609.69,0
806,20784609.69,0
807,41569219.38,0
808,20784609.69,0
809,20784609.69,0
810,20784609.69,0
811,20784609.69,0
812,41569219.38,0
813,20784609.69,0
814,20784609.69,0
815,20784609.69,0
816,20784609.69,0
817,41569219.38,0
818,20784609.69,0
819,20784609.69,0
820,20784609.69,0
821,20784609.69,0
822,41569219.38,0
823,20784609.69,0
826,1335126.045,0
827,20784609.69,0
828,13856406.46,0
829,13856406.46,0
830,20784609.69,0
831,20784609.69,0
832,20784609.69,0
833,13856406.46,0
834,10392304.85,0
835,10392304.85,0
836,13856406.46,0
837,20784609.69,0
838,13856406.46,0
839,10392304.85,0
840,10392304.85,0
841,13856406.46,0
842,20784609.69,0
843,13856406.46,0
844,10392304.85,0
