SolutionsMatrix,P3,P30,P56,P58,P84,P85,P86,P111,P112,P113,P138,P139,P140,P141,P166,P167,P168,P170,P194,P195,P196,P197,P198,P221,P222,P223,P224,P225,P248,P249,P250,P251,P252,P253,P275,P276,P277,P278,P279,P280,P281,P303,P304,P305,P306,P307,P308,P309,P330,P331,P332,P333,P334,P335,P336,P337,P358,P359,P360,P361,P362,P363,P364,P365,P382,P385,P386,P387,P388,P389,P390,P391,P392,P393,P407,P409,P410,P413,P414,P415,P416,P417,P418,P419,P420,P421,P434,P437,P441,P442,P443,P444,P445,P446,P447,P448,P449,P462,P464,P465,P468,P469,P470,P471,P472,P473,P474,P475,P476,P477,P487,P489,P490,P491,P492,P493,P496,P497,P498,P499,P500,P501,P502,P503,P504,P505,P512,P513,P514,P516,P517,P518,P519,P520,P521,P523,P524,P525,P526,P527,P528,P529,P530,P531,P532,P533,P538,P539,P540,P541,P542,P543,P544,P545,P546,P547,P548,P551,P552,P553,P554,P555,P556,P557,P558,P559,P560,P561,P565,P566,P567,P568,P569,P570,P571,P572,P573,P574,P575,P576,P578,P579,P580,P581,P582,P583,P584,P585,P586,P587,P588,P589,P591,P592,P593,P594,P595,P596,P597,P598,P599,P600,P601,P602,P603,P604,P606,P607,P608,P609,P610,P611,P612,P613,P614,P615,P616,P617,P618,P619,P620,P621,P622,P623,P624,P625,P626,P627,P628,P629,P630,P631,P633,P634,P635,P636,P637,P638,P639,P640,P641,P642,P643,P644,P645,P646,P647,P648,P649,P650,P651,P652,P653,P654,P655,P656,P657,P658,P659,P661,P662,P663,P664,P665,P666,P667,P668,P669,P670,P671,P672,P673,P674,P675,P676,P677,P678,P679,P680,P681,P682,P683,P684,P685,P686,P688,P689,P690,P691,P692,P693,P694,P695,P696,P697,P698,P699,P700,P701,P702,P703,P704,P705,P706,P707,P708,P709,P710,P711,P712,P713,P716,P717,P718,P719,P720,P721,P722,P723,P724,P725,P726,P727,P728,P729,P730,P731,P732,P733,P734,P735,P736,P737,P738,P739,P740,P741,P743,P744,P745,P746,P747,P748,P749,P750,P751,P752,P753,P754,P755,P756,P757,P758,P759,P760,P761,P762,P763,P764,P765,P766,P767,P768,P771,P772,P773,P774,P775,P776,P777,P778,P779,P780,P781,P782,P783,P784,P785,P786,P787,P788,P789,P790,P791,P792,P793,P794,P795,P796,P799,P800,P801,P802,P803,P804,P805,P806,P807,P808,P809,P810,P811,P812,P813,P814,P815,P816,P817,P818,P819,P820,P821,P822,P823,P826,P827,P828,P829,P830,P831,P832,P833,P834,P835,P836,P837,P838,P839,P840,P841,P842,P843,P844,P845,P846,P847,P848,P849,P850,P851,P854,P855,P856,P857,P858,P859,P860,P861,P862,P863,P864,P865,P866,P867,P868,P869,P870,P871,P872,P873,P874,P875,P876,P877,P878,P879,P882,P883,P884,P885,P886,P887,P888,P889,P890,P891,P892,P893,P894,P895,P896,P897,P898,P899,P900,P901,P902,P903,P904,P905,P906,P909,P910,P911,P912,P913,P914,P915,P916,P917,P918,P919,P920,P921,P922,P923,P924,P925,P926,P927,P928,P929,P930,P931,P932,P933,P937,P938,P939,P940,P941,P942,P943,P944,P945,P946,P947,P948,P949,P950,P951,P952,P953,P954,P955,P956,P957,P958,P959,P960,P961,P964,P965,P966,P967,P968,P969,P970,P971,P972,P973,P974,P975,P976,P977,P978,P979,P980,P981,P982,P983,P984,P985,P986,P987,P988,P992,P993,P994,P995,P996,P997,P998,P999,P1000,P1001,P1002,P1003,P1004,P1005,P1006,P1007,P1008,P1009,P1010,P1011,P1012,P1013,P1014,P1015,P1020,P1021,P1022,P1023,P1024,P1025,P1026,P1027,P1028,P1029,P1030,P1031,P1032,P1033,P1034,P1035,P1036,P1037,P1038,P1039,P1040,P1041,P1042,P1043,P1047,P1048,P1049,P1050,P1051,P1052,P1053,P1054,P1055,P1056,P1057,P1058,P1059,P1060,P1061,P1062,P1063,P1064,P1065,P1066,P1067,P1068,P1069,P1070,P1075,P1076,P1077,P1078,P1079,P1080,P1081,P1082,P1083,P1084,P1085,P1086,P1087,P1088,P1089,P1090,P1091,P1092,P1093,P1094,P1095,P1096,P1097,P1098,P1103,P1104,P1105,P1106,P1107,P1108,P1109,P1110,P1111,P1112,P1113,P1114,P1115,P1116,P1117,P1118,P1119,P1120,P1121,P1122,P1123,P1124,P1125,P1130,P1131,P1132,P1133,P1134,P1135,P1136,P1137,P1138,P1139,P1140,P1141,P1142,P1143,P1144,P1145,P1146,P1147,P1148,P1149,P1150,P1151,P1152,P1153,P1158,P1159,P1160,P1161,P1162,P1163,P1164,P1165,P1166,P1167,P1168,P1169,P1170,P1171,P1172,P1173,P1174,P1175,P1176,P1177,P1178,P1179,P1180,P1181,P1186,P1187,P1188,P1189,P1190,P1191,P1192,P1193,P1194,P1195,P1196,P1197,P1198,P1199,P1200,P1201,P1202,P1203,P1204,P1205,P1206,P1207,P1208,P1214,P1215,P1216,P1217,P1218,P1219,P1220,P1221,P1222,P1223,P1224,P1225,P1226,P1227,P1228,P1229,P1230,P1231,P1232,P1233,P1234,P1235,P1241,P1242,P1243,P1244,P1245,P1246,P1247,P1248,P1249,P1250,P1251,P1252,P1253,P1254,P1255,P1256,P1257,P1258,P1259,P1260,P1261,P1262,P1263,P1269,P1270,P1271,P1272,P1273,P1274,P1275,P1276,P1277,P1278,P1279,P1280,P1281,P1282,P1283,P1284,P1285,P1286,P1287,P1288,P1289,P1290,P1296,P1297,P1298,P1299,P1300,P1301,P1302,P1303,P1304,P1305,P1306,P1307,P1308,P1309,P1310,P1311,P1312,P1313,P1314,P1315,P1316,P1317,P1318,P1324,P1325,P1326,P1327,P1328,P1329,P1330,P1331,P1332,P1333,P1334,P1335,P1336,P1337,P1338,P1339,P1340,P1341,P1342,P1343,P1344,P1345,P1351,P1352,P1353,P1354,P1355,P1356,P1357,P1358,P1359,P1360,P1361,P1362,P1363,P1364,P1365,P1366,P1367,P1368,P1369,P1370,P1371,P1372,P1373,P1379,P1380,P1381,P1382,P1383,P1384,P1385,P1386,P1387,P1388,P1389,P1390,P1391,P1392,P1393,P1394,P1395,P1396,P1397,P1398,P1399,P1400,P1406,P1407,P1408,P1409,P1410,P1411,P1412,P1413,P1414,P1415,P1416,P1417,P1418,P1419,P1420,P1421,P1422,P1423,P1424,P1425,P1426,P1427,P1428,P1433,P1434,P1435,P1436,P1437,P1438,P1439,P1440,P1441,P1442,P1443,P1444,P1445,P1446,P1447,P1448,P1449,P1450,P1451,P1452,P1453,P1454,P1455,P1461,P1462,P1463,P1464,P1465,P1466,P1467,P1468,P1469,P1470,P1471,P1472,P1473,P1474,P1475,P1476,P1477,P1478,P1479,P1480,P1481,P1482,P1488,P1489,P1490,P1491,P1492,P1493,P1494,P1495,P1496,P1497,P1498,P1499,P1500,P1501,P1502,P1503,P1504,P1505,P1506,P1507,P1508,P1509,P1510,P1516,P1517,P1518,P1519,P1520,P1521,P1522,P1523,P1524,P1525,P1526,P1527,P1528,P1529,P1530,P1531,P1532,P1533,P1534,P1535,P1536,P1537,P1543,P1544,P1545,P1546,P1547,P1548,P1549,P1550,P1551,P1552,P1553,P1554,P1555,P1556,P1557,P1558,P1559,P1560,P1561,P1562,P1563,P1564,P1565,P1571,P1572,P1573,P1574,P1575,P1576,P1577,P1578,P1579,P1580,P1581,P1582,P1583,P1584,P1585,P1586,P1587,P1588,P1589,P1590,P1591,P1592,P1593,P1598,P1599,P1600,P1601,P1602,P1603,P1604,P1605,P1606,P1607,P1608,P1609,P1610,P1611,P1612,P1613,P1614,P1615,P1616,P1617,P1618,P1620,P1626,P1627,P1628,P1629,P1630,P1631,P1632,P1633,P1634,P1635,P1636,P1637,P1638,P1639,P1640,P1641,P1642,P1643,P1644,P1645,P1646,P1647,P1648,P1653,P1654,P1655,P1656,P1657,P1658,P1659,P1660,P1661,P1662,P1663,P1664,P1665,P1666,P1667,P1668,P1669,P1670,P1671,P1672,P1673,P1675,P1681,P1682,P1683,P1684,P1685,P1686,P1687,P1688,P1689,P1690,P1691,P1692,P1693,P1694,P1695,P1696,P1697,P1698,P1699,P1700,P1702,P1708,P1709,P1710,P1711,P1712,P1713,P1714,P1715,P1716,P1717,P1718,P1719,P1720,P1721,P1722,P1723,P1724,P1725,P1726,P1727,P1728,P1730,P1736,P1737,P1738,P1739,P1740,P1741,P1742,P1743,P1744,P1745,P1746,P1747,P1748,P1749,P1750,P1751,P1752,P1753,P1754,P1755,P1757,P1763,P1764,P1765,P1766,P1767,P1768,P1769,P1770,P1771,P1772,P1773,P1774,P1775,P1776,P1777,P1778,P1779,P1780,P1781,P1782,P1783,P1785,P1791,P1792,P1793,P1794,P1795,P1796,P1797,P1798,P1799,P1800,P1801,P1802,P1803,P1804,P1805,P1806,P1807,P1808,P1809,P1810,P1812,P1819,P1820,P1821,P1822,P1823,P1824,P1825,P1826,P1827,P1828,P1829,P1830,P1831,P1832,P1833,P1834,P1835,P1836,P1837,P1846,P1847,P1848,P1849,P1850,P1851,P1852,P1853,P1854,P1855,P1856,P1857,P1858,P1859,P1860,P1861,P1862,P1863,P1864,P1865,P1874,P1875,P1876,P1877,P1878,P1879,P1880,P1881,P1882,P1883,P1884,P1885,P1886,P1887,P1888,P1889,P1890,P1891,P1892,P1902,P1903,P1904,P1905,P1906,P1907,P1908,P1909,P1910,P1911,P1912,P1913,P1914,P1915,P1916,P1917,P1918,P1919,P1920,P1929,P1930,P1931,P1932,P1933,P1934,P1935,P1936,P1937,P1938,P1939,P1940,P1941,P1942,P1943,P1944,P1945,P1946,P1947,P1948,P1957,P1958,P1959,P1960,P1961,P1962,P1963,P1964,P1965,P1966,P1967,P1968,P1969,P1970,P1971,P1972,P1973,P1974,P1975,P1984,P1985,P1986,P1987,P1988,P1989,P1990,P1991,P1992,P1993,P1994,P1995,P1996,P1997,P1998,P1999,P2000,P2001,P2002,P2003,P2012,P2013,P2014,P2015,P2016,P2017,P2018,P2019,P2020,P2021,P2022,P2023,P2024,P2025,P2026,P2027,P2028,P2029,P2030,P2031,P2039,P2040,P2041,P2042,P2043,P2044,P2045,P2046,P2047,P2048,P2049,P2050,P2051,P2052,P2053,P2054,P2055,P2056,P2057,P2058,P2067,P2068,P2069,P2070,P2071,P2072,P2073,P2074,P2075,P2076,P2077,P2078,P2079,P2080,P2081,P2082,P2083,P2084,P2085,P2095,P2096,P2097,P2098,P2099,P2100,P2101,P2102,P2103,P2104,P2105,P2106,P2107,P2108,P2109,P2110,P2111,P2112,P2113,P2122,P2123,P2124,P2125,P2126,P2127,P2128,P2129,P2130,P2131,P2132,P2133,P2134,P2135,P2136,P2137,P2138,P2139,P2150,P2151,P2152,P2153,P2154,P2155,P2156,P2157,P2158,P2159,P2160,P2161,P2162,P2163,P2164,P2165,P2166,P2178,P2179,P2180,P2181,P2182,P2183,P2184,P2185,P2186,P2187,P2188,P2189,P2190,P2191,P2192,P2193,P2194,P2206,P2207,P2208,P2209,P2210,P2211,P2212,P2213,P2214,P2215,P2216,P2217,P2218,P2220,P2221,P2222,P2233,P2234,P2235,P2236,P2237,P2238,P2239,P2240,P2241,P2242,P2243,P2244,P2245,P2246,P2247,P2248,P2249,P2261,P2262,P2263,P2264,P2265,P2266,P2267,P2268,P2269,P2270,P2271,P2272,P2273,P2274,P2275,P2276,P2277,P2289,P2290,P2291,P2292,P2293,P2294,P2295,P2296,P2297,P2298,P2299,P2300,P2301,P2302,P2303,P2304,P2316,P2317,P2318,P2319,P2320,P2321,P2322,P2323,P2324,P2325,P2326,P2327,P2328,P2329,P2330,P2331,P2344,P2345,P2346,P2347,P2348,P2349,P2350,P2351,P2352,P2353,P2354,P2355,P2357,P2358,P2359,P2372,P2373,P2374,P2375,P2376,P2377,P2378,P2379,P2380,P2381,P2382,P2385,P2386,P2399,P2400,P2401,P2402,P2403,P2404,P2405,P2406,P2407,P2408,P2409,P2410,P2412,P2413,P2414,P2427,P2428,P2429,P2430,P2431,P2432,P2433,P2434,P2435,P2436,P2437,P2440,P2441,P2442,P2455,P2456,P2457,P2458,P2459,P2460,P2461,P2462,P2463,P2464,P2465,P2467,P2468,P2469,P2482,P2483,P2484,P2485,P2486,P2487,P2488,P2489,P2490,P2491,P2492,P2495,P2496,P2510,P2511,P2512,P2513,P2514,P2515,P2516,P2517,P2519,P2524,P2538,P2539,P2540,P2541,P2542,P2543,P2544,P2545,P2546,P2547,P2565,P2566,P2567,P2568,P2569,P2570,P2571,P2572,P2573,P2574,P2593,P2594,P2595,P2596,P2597,P2598,P2599,P2600,P2601,P2602,P2620,P2621,P2622,P2623,P2624,P2625,P2626,P2627,P2628,P2629,P2648,P2649,P2650,P2651,P2652,P2653,P2654,P2656,P2657,P2678,P2679,P2680,P2681,P2683,P2684,P2707,P2708,P2709,P2735,P2736,P2762,P2763,P2791
S1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1
S2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0
