"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,53531700.000000,53865269.958030,0,22,0,0,yes,1.000000
25,,142155600.000000,142298647.857400,0,40,0,0,yes,1.000000
24,,133827900.000000,133851671.946290,0,40,0,0,yes,1.000000
23,,145996200.000000,146075758.515120,0,42,0,0,yes,1.000000
22,,136475100.000000,136620233.635280,0,37,0,0,yes,1.000000
21,,100368900.000000,100562408.058120,0,32,0,0,yes,1.000000
20,,210332700.000000,211200258.751940,0,112,0,0,yes,1.000000
19,,314796000.000000,314803679.503950,0,115,0,0,yes,1.000000
18,,377256000.000000,377908149.155790,0,113,0,0,yes,1.000000
17,,263222700.000000,280930056.188500,0,112,0,0,yes,1.000000
16,,183762300.000000,183808513.757310,0,73,0,0,yes,1.000000
15,,235131300.000000,235243554.000980,0,77,0,0,yes,1.000000
14,,98792400.000000,100483889.187510,0,18,0,0,yes,1.000000
13,,114646200.000000,114798493.806160,0,28,0,0,yes,1.000000
12,,89071800.000000,88839218.926280,0,24,0,0,yes,0.997389
11,,59245200.000000,60823044.556130,0,20,0,0,yes,1.000000
10,,3315300000.000000,3315291294.100691,0,114,0,0,yes,0.999997
