"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,53531700.000000,53531700.448750,0,26,0,0,yes,1.000000
25,,142155600.000000,142455545.139660,0,40,0,0,yes,1.000000
24,,133827900.000000,134805191.584470,0,46,0,0,yes,1.000000
23,,145996200.000000,145814962.616170,0,47,0,0,yes,0.998759
22,,136475100.000000,137148993.525920,0,41,0,0,yes,1.000000
21,,100368900.000000,100453053.124510,0,36,0,0,yes,1.000000
20,,210332700.000000,210367758.304180,0,111,0,0,yes,1.000000
19,,314796000.000000,314962786.907780,0,114,0,0,yes,1.000000
18,,377256000.000000,377289059.608430,0,112,0,0,yes,1.000000
17,,263222700.000000,266611000.093750,0,107,0,0,yes,1.000000
16,,183762300.000000,186324149.032200,0,71,0,0,yes,1.000000
15,,235131300.000000,235256799.880860,0,72,0,0,yes,1.000000
14,,98792400.000000,98843064.821330,0,23,0,0,yes,1.000000
13,,114646200.000000,115112413.637690,0,30,0,0,yes,1.000000
12,,89071800.000000,88921502.257360,0,24,0,0,yes,0.998313
11,,59245200.000000,59271403.307630,0,19,0,0,yes,1.000000
10,,3315300000.000000,3315787028.141230,0,114,0,0,yes,1.000000
