"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,53531700.000000,53527901.949740,0,23,0,0,yes,0.999929
25,,142155600.000000,142741381.412590,0,43,0,0,yes,1.000000
24,,133827900.000000,133939276.315420,0,47,0,0,yes,1.000000
23,,145996200.000000,146247611.171850,0,48,0,0,yes,1.000000
22,,136475100.000000,139202844.209990,0,41,0,0,yes,1.000000
21,,100368900.000000,100681312.233410,0,36,0,0,yes,1.000000
20,,210332700.000000,211390136.115700,0,114,0,0,yes,1.000000
19,,314796000.000000,314803519.205640,0,118,0,0,yes,1.000000
18,,377256000.000000,377993847.944860,0,116,0,0,yes,1.000000
17,,263222700.000000,268419670.512680,0,113,0,0,yes,1.000000
16,,183762300.000000,183961869.065940,0,69,0,0,yes,1.000000
15,,235131300.000000,237079625.810050,0,67,0,0,yes,1.000000
14,,98792400.000000,99341575.753930,0,22,0,0,yes,1.000000
13,,114646200.000000,116962643.043960,0,31,0,0,yes,1.000000
12,,89071800.000000,90010476.721710,0,26,0,0,yes,1.000000
11,,59245200.000000,59590466.557130,0,21,0,0,yes,1.000000
10,,3315300000.000000,3315321954.609961,0,110,0,0,yes,1.000000
