"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,53531700.000000,53695520.906770,0,20,0,0,yes,1.000000
25,,142155600.000000,142206127.834450,0,41,0,0,yes,1.000000
24,,133827900.000000,134545554.043930,0,44,0,0,yes,1.000000
23,,145996200.000000,146693070.406250,0,47,0,0,yes,1.000000
22,,136475100.000000,143149820.686070,0,41,0,0,yes,1.000000
21,,100368900.000000,100415290.179190,0,31,0,0,yes,1.000000
20,,210332700.000000,210923710.054180,0,115,0,0,yes,1.000000
19,,314796000.000000,314807533.321840,0,118,0,0,yes,1.000000
18,,377256000.000000,377323835.869170,0,116,0,0,yes,1.000000
17,,263222700.000000,264097481.171390,0,111,0,0,yes,1.000000
16,,183762300.000000,183753156.051730,0,71,0,0,yes,0.999950
15,,235131300.000000,235440785.496570,0,71,0,0,yes,1.000000
14,,98792400.000000,99119033.450720,0,22,0,0,yes,1.000000
13,,114646200.000000,115472701.424290,0,29,0,0,yes,1.000000
12,,89071800.000000,89122145.439460,0,22,0,0,yes,1.000000
11,,59245200.000000,60474304.693830,0,14,0,0,yes,1.000000
10,,3315300000.000000,3318561804.710051,0,110,0,0,yes,1.000000
