"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,53531700.000000,53509197.791550,0,22,0,0,yes,0.999580
25,,142155600.000000,142424091.634280,0,41,0,0,yes,1.000000
24,,133827900.000000,133994089.598140,0,47,0,0,yes,1.000000
23,,145996200.000000,146847819.874970,0,49,0,0,yes,1.000000
22,,136475100.000000,142134785.131390,0,43,0,0,yes,1.000000
21,,100368900.000000,101058589.006350,0,39,0,0,yes,1.000000
20,,210332700.000000,210449340.003910,0,115,0,0,yes,1.000000
19,,314796000.000000,316301277.566940,0,119,0,0,yes,1.000000
18,,377256000.000000,377258894.213880,0,118,0,0,yes,1.000000
17,,263222700.000000,289681940.422330,0,115,0,0,yes,1.000000
16,,183762300.000000,183884429.660140,0,69,0,0,yes,1.000000
15,,235131300.000000,236129592.854000,0,71,0,0,yes,1.000000
14,,98792400.000000,98956686.048350,0,18,0,0,yes,1.000000
13,,114646200.000000,115592123.458490,0,28,0,0,yes,1.000000
12,,89071800.000000,89175959.775900,0,23,0,0,yes,1.000000
11,,59245200.000000,60309143.801260,0,17,0,0,yes,1.000000
10,,3315300000.000000,3315375438.709122,0,116,0,0,yes,1.000000
